material,mp_id,grace_ok,grace_stable,mp_state,mp_reliable,grace_K,mp_K,exp_K,grace_G,mp_G,exp_G,grace_E,mp_E,grace_nu,mp_nu,grace_A_U,mp_A_U,grace_C11,mp_C11,exp_C11,grace_C12,mp_C12,exp_C12,grace_C44,mp_C44,exp_C44,ref_used,K_err_vs_best_%,G_err_vs_best_%
Al,mp-134,True,True,failed,False,76.36079144302317,76.871,76.4,34.57853535254242,-13.986,26.1,90.1309146162124,,0.30327837337947655,0.597,0.11777016575170762,4.721,114.60082450738174,70.0,107.3,57.240774910843804,80.0,60.9,39.18169544043601,-28.0,28.3,EXP,-0.0513201007550147,32.484809779856
Cu,mp-30,True,True,successful,True,152.50072524712937,151.394,137.1,56.29421745433699,49.843,47.3,150.37898654851213,134.74208675760133,0.3356521624134125,0.352,1.645355555409055,1.573,190.9932694997028,186.0,168.4,133.25445312084264,134.0,121.4,87.83363880690989,77.0,75.4,MP,0.7310231892475008,12.943076167840987
Si,mp-149,True,True,successful,True,92.72499340883583,88.916,97.8,73.44030537388463,62.445,66.5,174.30347597368146,151.79920769882713,0.18670173746080143,0.215,0.7120419886690268,0.227,155.13460735370828,153.0,165.6,61.52018643639963,57.0,63.9,99.33180730398199,74.0,79.5,MP,4.2838110225784245,17.607983623804348
Fe,mp-13,True,True,successful,True,134.89440866062586,207.093,167.7,66.1302459839577,67.563,82.6,170.52486519569104,182.80885780919283,0.28931068271739113,0.353,1.1646904483505756,0.878,184.82606978128652,274.0,233.0,109.92857810029534,175.0,135.0,96.74899221071678,89.0,117.5,MP,-34.86288350614175,-2.1206192976071154
Ni,mp-23,True,True,successful,True,199.95587925134745,173.808,188.0,95.39879115319411,91.592,85.0,246.92684033487134,233.72114434859773,0.2941822288835356,0.276,0.9355539039539087,0.837,276.11717110797525,249.0,254.0,161.87523332303337,136.0,155.0,134.5198680267797,127.0,123.0,MP,15.044117216323452,4.156248529559472
W,mp-91,True,True,successful,True,334.9021694387161,302.264,310.8,162.18927223304954,148.152,160.2,418.93874356519916,382.0384258804259,0.2915118792913339,0.289,6.829972716193566e-05,0.035,550.177864197245,521.0,523.3,227.2643220594512,193.0,204.5,162.67945257704812,138.0,160.7,MP,10.797901648464947,9.474912409585796
